ID,Ano,Dia Juliano,Hora - minuto,Temperatura,Umidade
274,2017,2,2150,23.81,72.3
275,2017,2,2200,23.74,73.2
276,2017,2,2210,23.64,74.7
277,2017,2,2220,23.41,77.4
278,2017,2,2230,23.3,79.5
279,2017,2,2240,23.15,81.4
280,2017,2,2250,23.08,82.6
281,2017,2,2300,23.09,82.7
282,2017,2,2310,23.08,82.2
283,2017,2,2320,23.1,81.2
284,2017,2,2330,23.0,81.0
285,2017,2,2340,23.02,80.4
286,2017,2,2350,22.99,80.5
287,2017,2,2400,22.93,80.7
288,2017,3,10,22.87,81.0
289,2017,3,20,22.71,81.9
290,2017,3,30,22.58,82.6
291,2017,3,40,22.44,83.4
292,2017,3,50,22.37,83.7
293,2017,3,100,22.36,83.8
294,2017,3,110,22.22,84.3
295,2017,3,120,22.1,84.9
296,2017,3,130,22.07,85.2
297,2017,3,140,22.19,84.8
298,2017,3,150,22.29,84.3
299,2017,3,200,22.2,84.8
300,2017,3,210,22.09,85.7
301,2017,3,220,22.01,86.2
302,2017,3,230,21.9,86.7
303,2017,3,240,21.64,87.8
304,2017,3,250,21.39,89.0
305,2017,3,300,21.35,89.2
306,2017,3,310,21.45,88.7
307,2017,3,320,21.55,88.4
308,2017,3,330,21.43,89.1
309,2017,3,340,21.63,88.2
310,2017,3,350,21.69,87.9
311,2017,3,400,21.58,88.5
312,2017,3,410,21.57,88.4
313,2017,3,420,21.63,88.0
314,2017,3,430,21.59,87.9
315,2017,3,440,21.48,88.2
316,2017,3,450,21.52,87.7
317,2017,3,500,21.6,87.2
318,2017,3,510,21.56,87.3
319,2017,3,520,21.52,87.4
320,2017,3,530,21.59,87.0
321,2017,3,540,21.65,86.4
322,2017,3,550,21.68,85.4
323,2017,3,600,21.64,84.8
324,2017,3,610,21.66,84.8
325,2017,3,620,21.79,84.7
326,2017,3,630,22.19,83.3
327,2017,3,640,22.39,82.3
328,2017,3,650,22.53,81.9
329,2017,3,700,23.19,79.2
330,2017,3,710,23.56,78.4
331,2017,3,720,23.99,77.5
332,2017,3,730,24.51,75.6
333,2017,3,740,25.01,73.9
334,2017,3,750,25.42,72.3
335,2017,3,800,25.82,71.1
336,2017,3,810,26.16,69.51
337,2017,3,820,26.53,68.51
338,2017,3,830,26.92,67.52
339,2017,3,840,27.25,67.71
340,2017,3,850,27.62,65.99
341,2017,3,900,28.12,63.87
342,2017,3,910,28.43,63.63
343,2017,3,920,28.72,62.33
344,2017,3,930,29.04,59.79
345,2017,3,940,29.37,59.71
346,2017,3,950,29.48,57.97
347,2017,3,1000,29.92,57.91
348,2017,3,1010,30.06,57.34
349,2017,3,1020,30.4,56.91
350,2017,3,1030,30.51,57.16
351,2017,3,1040,30.64,57.03
352,2017,3,1050,30.95,56.77
353,2017,3,1100,30.91,56.58
354,2017,3,1110,31.05,55.95
355,2017,3,1120,31.37,56.02
356,2017,3,1130,31.48,53.49
357,2017,3,1140,31.62,51.8
358,2017,3,1150,31.83,53.04
359,2017,3,1200,32.05,51.94
360,2017,3,1210,31.85,50.96
361,2017,3,1220,32.19,49.21
362,2017,3,1230,32.21,48.51
363,2017,3,1240,32.46,47.79
364,2017,3,1250,32.47,49.52
365,2017,3,1300,32.71,47.47
366,2017,3,1310,32.07,47.84
367,2017,3,1320,32.24,47.64
368,2017,3,1330,32.52,45.22
369,2017,3,1340,33.33,43.48
370,2017,3,1350,33.91,40.86
371,2017,3,1400,33.31,41.25
372,2017,3,1410,34.24,40.34
373,2017,3,1420,33.63,40.05
374,2017,3,1430,32.71,43.59
375,2017,3,1440,33.64,42.02
376,2017,3,1450,33.23,42.28
377,2017,3,1500,33.96,40.63
378,2017,3,1510,34.32,38.4
379,2017,3,1520,33.6,40.26
380,2017,3,1530,34.3,38.28
381,2017,3,1540,33.2,37.34
382,2017,3,1550,32.62,38.48
383,2017,3,1600,31.81,43.54
384,2017,3,1610,30.0,51.4
385,2017,3,1620,29.69,52.54
386,2017,3,1630,29.56,52.65
387,2017,3,1640,29.28,52.94
388,2017,3,1650,28.05,54.36
389,2017,3,1700,26.88,61.51
390,2017,3,1710,25.97,66.39
391,2017,3,1720,25.8,67.02
392,2017,3,1730,25.56,67.41
393,2017,3,1740,25.25,68.02
394,2017,3,1750,25.67,64.26
395,2017,3,1800,26.35,61.46
396,2017,3,1810,26.3,62.7
397,2017,3,1820,26.39,63.25
398,2017,3,1830,26.27,64.7
399,2017,3,1840,25.74,69.12
400,2017,3,1850,25.18,72.0
401,2017,3,1900,24.8,70.7
402,2017,3,1910,24.53,72.4
403,2017,3,1920,24.37,75.3
404,2017,3,1930,24.74,76.6
405,2017,3,1940,24.92,76.9
406,2017,3,1950,24.31,77.6
407,2017,3,2000,24.13,78.9
408,2017,3,2010,24.21,77.6
409,2017,3,2020,24.33,74.1
410,2017,3,2030,24.21,73.9
411,2017,3,2040,23.76,74.6
412,2017,3,2050,23.46,74.9
413,2017,3,2100,23.08,76.6
414,2017,3,2110,22.75,79.0
415,2017,3,2120,22.43,82.8
416,2017,3,2130,21.4,88.8
417,2017,3,2140,21.13,85.9
418,2017,3,2150,21.12,79.3
419,2017,3,2200,21.42,77.3
420,2017,3,2210,21.59,76.9
421,2017,3,2220,21.57,76.0
422,2017,3,2230,21.26,78.4
423,2017,3,2240,21.3,78.9
424,2017,3,2250,21.91,76.1
425,2017,3,2300,22.07,76.9
426,2017,3,2310,21.96,80.5
427,2017,3,2320,21.66,84.1
428,2017,3,2330,21.39,86.5
429,2017,3,2340,21.32,87.4
430,2017,3,2350,21.55,86.4
431,2017,3,2400,21.33,88.0
432,2017,4,10,21.12,90.0
433,2017,4,20,21.25,89.3
434,2017,4,30,21.36,88.8
435,2017,4,40,21.53,87.8
436,2017,4,50,21.53,87.2
437,2017,4,100,21.56,86.1
438,2017,4,110,21.41,85.6
439,2017,4,120,21.35,84.8
440,2017,4,130,21.31,83.9
441,2017,4,140,21.23,83.3
442,2017,4,150,21.36,81.5
443,2017,4,200,21.46,80.0
444,2017,4,210,21.34,81.2
445,2017,4,220,21.33,80.7
446,2017,4,230,21.38,80.5
447,2017,4,240,21.4,80.7
448,2017,4,250,21.46,80.7
449,2017,4,300,21.38,80.8
450,2017,4,310,21.07,83.2
451,2017,4,320,20.94,84.1
452,2017,4,330,21.1,83.2
453,2017,4,340,21.29,81.0
454,2017,4,350,21.35,81.2
455,2017,4,400,21.41,80.7
456,2017,4,410,21.24,82.4
457,2017,4,420,21.26,83.3
458,2017,4,430,21.45,82.1
459,2017,4,440,21.55,81.3
460,2017,4,450,21.55,81.5
461,2017,4,500,21.44,82.5
462,2017,4,510,21.44,82.3
463,2017,4,520,21.3,83.4
464,2017,4,530,21.25,84.0
465,2017,4,540,21.37,83.1
466,2017,4,550,21.32,83.6
467,2017,4,600,21.23,84.2
468,2017,4,610,21.26,85.2
469,2017,4,620,21.25,85.5
470,2017,4,630,21.21,85.9
471,2017,4,640,21.18,86.4
472,2017,4,650,21.12,87.1
473,2017,4,700,21.26,86.5
474,2017,4,710,21.4,86.2
475,2017,4,720,21.6,85.9
476,2017,4,730,21.79,85.5
477,2017,4,740,22.03,84.5
478,2017,4,750,22.34,83.3
479,2017,4,800,22.49,83.1
480,2017,4,810,22.64,82.6
481,2017,4,820,22.94,81.4
482,2017,4,830,23.18,80.4
483,2017,4,840,23.51,79.2
484,2017,4,850,23.44,79.2
485,2017,4,900,23.61,78.7
486,2017,4,910,23.82,77.9
487,2017,4,920,24.02,77.8
488,2017,4,930,24.25,75.8
489,2017,4,940,24.56,75.4
490,2017,4,950,25.14,73.2
491,2017,4,1000,25.08,73.6
492,2017,4,1010,25.23,72.3
493,2017,4,1020,25.34,72.5
494,2017,4,1030,25.64,70.2
495,2017,4,1040,25.78,70.0
496,2017,4,1050,25.84,69.57
497,2017,4,1100,26.29,69.64
498,2017,4,1110,26.51,68.51
499,2017,4,1120,26.76,67.46
