ts,Hora,Hmax,cluster
2017-05-25,14,31.33121198595222,1
2017-05-26,14,32.269567083960574,1
2017-05-27,11,31.939202161984163,1
2017-05-28,14,30.48708540100341,0
2017-05-29,13,28.736884131001172,0
2017-05-30,11,29.009561727236747,0
2017-05-31,13,27.4604442388075,0
2017-06-01,16,22.68682185489718,0
2017-06-02,15,21.879795818287526,0
2017-06-03,15,26.982499779127146,0
2017-06-04,15,32.61986574083001,0
2017-06-05,15,26.834070920251055,0
2017-06-06,15,31.381960837043692,1
2017-06-07,14,32.55184231930172,1
2017-06-08,14,30.909364731179128,1
2017-06-09,12,26.061703917895123,0
2017-06-10,15,17.514479745021074,0
2017-06-11,16,22.17811212443025,0
2017-06-12,13,24.283875295309358,0
2017-06-13,12,24.498479940236678,0
2017-06-14,14,26.24399877251675,0
2017-06-15,14,26.755881074093708,0
2017-06-16,14,25.06292059058748,0
2017-06-17,14,26.69105023760538,0
2017-06-18,13,26.423343077891957,0
2017-06-19,14,26.55747750645196,0
2017-06-20,13,23.59918214928152,0
2017-06-21,13,26.28739155427136,0
2017-06-22,15,27.465581912946178,0
2017-06-23,15,26.371273307096477,0
2017-06-24,12,26.20130714329714,0
2017-06-25,15,24.666385824157015,0
2017-06-26,15,25.962635393252743,0
2017-06-27,15,24.224930103737307,0
2017-06-28,16,27.041468963629647,0
2017-06-29,12,25.836201973419897,0
2017-06-30,13,25.640874794904885,0
2017-07-01,14,25.79794711368052,0
2017-07-02,13,19.874888080169594,0
2017-07-03,14,18.625278592875507,0
2017-07-04,14,19.57199693493716,0
2017-07-05,15,20.524407859795726,0
2017-07-06,13,21.45564955728107,0
2017-07-07,14,22.397084233287156,0
2017-07-08,14,22.842686947475055,0
2017-07-09,14,23.8729360015673,0
2017-07-10,14,25.14170635975686,0
2017-07-11,15,26.114002652800288,0
2017-07-12,13,27.112827676579453,0
2017-07-13,14,26.71870614858109,0
2017-07-14,15,26.13348304739748,0
2017-07-15,13,25.605859005841857,0
2017-07-16,13,24.929288999340805,0
2017-07-17,15,25.707784869064678,0
2017-07-18,11,18.28100072657785,0
2017-07-19,15,18.515150581030394,0
2017-07-20,14,25.675354176969986,0
2017-07-21,14,26.20301005760475,0
2017-07-22,14,24.48430871239831,0
2017-07-23,12,25.947090537771714,0
2017-07-24,14,24.706270943705483,0
2017-07-25,15,26.097570727756892,0
2017-07-26,15,25.49767960917887,0
2017-07-27,15,25.964904417439055,0
2017-07-28,14,24.83916398352137,0
2017-07-29,16,26.35434796145649,0
2017-07-30,14,24.03117520206823,0
2017-07-31,16,22.623400619531875,0
2017-08-01,13,21.710373995611025,0
2017-08-02,15,25.058960273557783,0
2017-08-03,15,24.339211275207376,0
2017-08-04,12,21.308922476777955,0
2017-08-05,14,21.15747547958216,0
2017-08-06,14,22.944006768155408,0
2017-08-07,15,26.628712619266576,0
2017-08-08,14,28.94629446696805,0
2017-08-09,14,30.543906358201124,0
2017-08-10,14,31.14642303904861,0
2017-08-11,15,26.82083855988028,0
2017-08-12,14,31.067504561518998,0
2017-08-13,14,30.738103167237767,0
2017-08-14,14,29.723857259939567,0
2017-08-15,10,23.285763422881807,0
2017-08-16,10,22.712585194582697,0
2017-08-17,16,22.207940627841854,0
2017-08-18,16,22.81713541263377,0
2017-08-19,14,22.272842378989612,0
2017-08-20,11,29.23608529737549,0
2017-08-21,0,19.87002270115697,0
2017-08-22,14,25.35543247390881,0
2017-08-23,15,30.188798564794283,0
2017-08-24,12,25.23448776265558,0
2017-08-25,13,28.26265553421372,0
2017-08-26,15,27.91120788576877,0
2017-08-27,15,27.53863931554549,0
2017-08-28,14,28.633549392807964,0
2017-08-29,14,29.130191961148988,0
2017-08-30,13,30.023194983002025,0
2017-08-31,14,28.266849687210776,0
2017-09-01,15,29.623149611939827,0
2017-09-02,13,29.65161953587057,0
2017-09-03,15,27.467967020674358,0
2017-09-04,15,26.808830787138128,0
2017-09-05,14,27.51905351377832,0
2017-09-06,14,28.993191945272397,0
2017-09-07,15,29.030081946003275,0
2017-09-08,14,29.53392769281443,0
2017-09-09,15,30.51377225452859,0
2017-09-10,15,29.522775894012398,0
2017-09-11,15,31.29160936767757,0
2017-09-12,14,32.10523646662653,1
2017-09-13,13,31.06257890016121,0
2017-09-14,14,31.8995007157941,0
2017-09-15,14,32.12378892571011,0
2017-09-16,14,31.810432324535512,1
2017-09-17,14,31.010730698839087,0
2017-09-18,14,31.59379963501168,1
2017-09-19,13,31.303567665565723,0
2017-09-20,14,31.610048836083426,0
2017-09-21,15,31.45996445027185,0
2017-09-22,13,29.808740566970915,0
2017-09-23,15,30.94150046572492,0
2017-09-24,13,30.819189803075208,0
2017-09-25,13,30.199879688096285,0
2017-09-26,15,29.98300962447801,0
2017-09-27,13,31.033078262842203,0
2017-09-28,14,32.74266083595277,1
2017-09-29,14,32.303731835638374,0
2017-09-30,12,25.64155793504758,0
2017-10-01,15,29.92434495114872,0
2017-10-02,16,24.2440271404815,0
2017-10-03,15,25.81473480568264,0
2017-10-04,16,29.124812055339675,0
2017-10-05,14,34.23156923935065,1
2017-10-06,13,35.74671645533361,1
2017-10-07,0,27.74334780218193,0
2017-10-08,14,31.781315780393967,1
2017-10-09,16,34.1173869519467,1
2017-10-10,14,36.30362569108525,1
2017-10-11,13,37.56252356098755,1
2017-10-12,14,36.79013878148577,1
2017-10-13,15,37.37661933549498,1
2017-10-14,14,36.349815870618976,1
2017-10-15,13,30.7214987802422,0
2017-10-16,15,32.91556048031605,0
2017-10-17,14,33.509700175378555,1
2017-10-18,13,34.089880369310315,1
2017-10-19,15,33.644742782928425,1
2017-10-20,13,31.954068939747074,1
2017-10-21,12,29.908862410907112,1
2017-10-22,12,26.5223912072752,0
2017-10-23,13,25.013665652900862,0
2017-10-24,15,32.34449537524727,0
2017-10-25,13,35.548743545395354,1
2017-10-26,10,28.83058924545525,0
2017-10-27,14,34.010851221646945,0
2017-10-28,14,33.39385264145126,1
2017-10-29,14,29.989240437876806,1
2017-10-30,12,29.96399564790677,1
2017-10-31,13,29.23080856773713,0
2017-11-01,15,27.747331214939752,0
2017-11-02,15,32.00883218614923,0
2017-11-03,15,33.56669581306084,1
2017-11-04,15,33.53167977896223,1
2017-11-05,10,28.093852692253453,0
2017-11-06,13,30.40101083050469,0
2017-11-07,13,29.876118617978314,0
2017-11-08,15,31.68171905567171,1
2017-11-09,15,32.95990427082743,1
2017-11-10,15,34.23423833794169,1
2017-11-11,15,32.66321953544446,1
2017-11-12,15,27.868902684854927,0
2017-11-13,15,29.423915968946446,0
2017-11-14,15,31.117915896926608,0
2017-11-15,14,35.10647802236569,1
2017-11-16,13,35.484752236760706,1
2017-11-17,14,34.51805703078123,1
2017-11-18,13,34.09957787301481,1
2017-11-19,13,33.23598410601204,1
2017-11-20,15,33.07336448789858,1
2017-11-21,14,34.04856543241955,1
2017-11-22,15,31.71646481779535,1
2017-11-23,15,32.136426433429406,1
2017-11-24,14,33.939027553558375,1
2017-11-25,12,35.346623471970574,1
2017-11-26,16,30.329844446998955,1
2017-11-27,13,33.118711593201944,1
2017-11-28,11,33.53399413158879,1
2017-11-29,13,31.160696238702048,0
2017-11-30,14,32.546239137637656,0
2017-12-01,15,30.16916111410605,0
2017-12-02,16,31.627057927680077,1
2017-12-03,16,35.4743559815859,1
2017-12-04,15,36.06355801176424,1
2017-12-05,14,35.700767741219856,1
2017-12-06,14,36.58618857197956,1
2017-12-07,13,33.81914354941754,1
2017-12-08,14,36.52901716186425,1
2017-12-09,13,33.95660461789113,1
2017-12-10,14,33.205916160337146,1
2017-12-11,14,35.15049594472061,1
2017-12-12,13,31.42916328152913,1
2017-12-13,15,34.37853071924116,1
2017-12-14,15,34.9741777099818,1
2017-12-15,13,35.27186619167032,1
2017-12-16,14,36.2539117828289,1
2017-12-17,15,36.585804779093415,1
2017-12-18,15,36.25252566135136,1
2017-12-19,13,37.19146230840086,1
2017-12-20,14,35.87798353311776,1
2017-12-21,12,28.80514310803147,1
2017-12-22,16,31.046883923181873,1
2017-12-23,12,34.66009629229721,1
2017-12-24,14,35.942538852053254,1
2017-12-25,13,35.87623626192695,1
2017-12-26,13,36.14703360242951,1
2017-12-27,14,36.07256683900781,1
2017-12-28,14,36.537266937778114,1
2017-12-29,16,33.536578674354345,1
2017-12-30,10,29.468383508967534,1
2017-12-31,14,33.25046018347321,1
2018-01-01,16,35.34576392590804,1
2018-01-02,15,34.48885313883551,1
2018-01-03,14,33.41995089599002,1
2018-01-04,15,32.5252896500322,1
2018-01-05,14,34.90344622318089,1
2018-01-06,17,33.10919967478219,1
2018-01-07,13,26.055022529782324,0
2018-01-08,14,28.957387960393863,1
2018-01-09,15,32.74005573058193,1
2018-01-10,17,34.14096485070075,1
2018-01-11,14,35.96152822177486,1
2018-01-12,15,30.704869684702764,1
2018-01-13,16,32.243910522231324,1
2018-01-14,13,35.024500310566964,1
2018-01-15,15,35.38549463849552,1
2018-01-16,15,35.490343752268856,1
2018-01-17,13,37.557654710237756,1
2018-01-18,13,37.15262017607336,1
2018-01-19,15,37.357584203253936,1
2018-01-20,15,36.09847031547936,1
2018-01-21,14,36.67702403960353,1
2018-01-22,13,37.44758249502026,1
2018-01-23,13,37.86604294556868,1
2018-01-24,16,36.89282481695789,1
2018-01-25,13,38.0378590125734,1
2018-01-26,13,36.40593383774117,1
2018-01-27,14,36.02200810570022,1
2018-01-28,15,37.06026372178042,1
2018-01-29,15,35.584602970191995,1
2018-01-30,14,27.43436983348069,1
2018-01-31,13,32.038708477356955,1
2018-02-01,15,32.926963760690484,1
2018-02-02,14,33.943283572557434,1
2018-02-03,14,35.05507527762577,1
2018-02-04,14,32.87920133877458,1
2018-02-05,15,33.000274916658356,1
2018-02-06,15,31.571357562435203,1
2018-02-07,15,31.56518047688905,1
2018-02-08,15,33.67738324571876,1
2018-02-09,17,35.68038072762773,1
2018-02-10,12,33.66450856513286,1
2018-02-11,13,37.44860955378447,1
2018-02-12,16,37.629476696867656,1
2018-02-13,13,33.58053012913324,1
2018-02-14,16,29.716632575712442,1
2018-02-15,16,31.217645024372125,1
2018-02-16,14,35.060264578398936,1
2018-02-17,15,34.60231814958643,1
2018-02-18,14,27.51199335082869,0
2018-02-19,14,32.572610339883674,1
2018-02-20,15,34.99584112531961,1
2018-02-21,16,34.17842762904324,1
2018-02-22,14,35.556832224158185,1
2018-02-23,15,35.090161213393586,1
2018-02-24,14,34.781837032845374,1
2018-02-25,13,34.807543009205745,1
2018-02-26,10,32.705901786998524,1
2018-02-27,15,33.48471862017774,1
2018-02-28,13,36.62594983891471,1
2018-03-01,15,38.31029943608669,1
2018-03-02,14,37.559617595340455,1
2018-03-03,14,35.94955092277974,1
2018-03-04,13,37.363661855325475,1
2018-03-05,13,37.0057224423077,1
2018-03-06,13,37.69865125577221,1
2018-03-07,15,37.503836159076634,1
2018-03-08,14,35.623742732387484,1
2018-03-09,14,36.16589723304368,1
2018-03-10,14,36.97614236018446,1
2018-03-11,15,35.05239380114976,1
2018-03-12,14,37.595644679932654,1
2018-03-13,12,38.33999452993685,1
2018-03-14,15,39.39222709728846,1
2018-03-15,14,38.08457641642164,1
2018-03-16,12,37.63099048154007,1
2018-03-17,14,37.69961440142149,1
2018-03-18,13,37.45279343060721,1
2018-03-19,14,38.52125950342405,1
2018-03-20,14,38.67537879244329,1
2018-03-21,14,35.759769982742455,1
2018-03-22,15,35.05043175030666,1
2018-03-23,15,37.58163197060927,1
2018-03-24,14,35.09479884669341,1
2018-03-25,15,35.05093916904234,1
2018-03-26,13,35.121685080456274,1
2018-03-27,13,33.89083254207681,1
2018-03-28,13,34.1812342503552,1
2018-03-29,13,35.20424120736814,1
2018-03-30,13,34.05497781026348,1
2018-03-31,14,34.32937607110178,1
2018-04-01,12,34.18943659405865,1
2018-04-02,14,33.39626493649613,1
2018-04-03,11,33.22791638457902,1
2018-04-04,14,33.32619553671688,1
2018-04-05,15,32.55128961728409,1
2018-04-06,14,32.62846523089558,1
2018-04-07,12,33.118099895123876,1
2018-04-08,14,35.04839345982555,1
2018-04-09,15,33.957298618706915,1
2018-04-10,15,33.266395220505174,1
2018-04-11,14,32.09591689766585,1
2018-04-12,15,31.383799607029328,1
2018-04-13,15,33.727055397259996,1
2018-04-14,13,33.061619376564714,1
2018-04-15,11,30.844547272936182,1
2018-04-16,13,29.290521275967258,0
2018-04-17,14,29.254799731012373,0
2018-04-18,15,27.677814775904302,0
2018-04-19,14,28.708703077749693,0
2018-04-20,11,25.97935474346417,0
2018-04-21,15,28.50216750652681,0
2018-04-22,13,30.277965572700747,0
2018-04-23,13,30.437850205811092,1
2018-04-24,13,31.22193462402536,1
2018-04-25,16,31.95302460421889,1
2018-04-26,15,33.679219629496224,1
2018-04-27,14,33.07560697774856,1
2018-04-28,12,33.04270215455448,1
2018-04-29,13,32.30031474823532,1
2018-04-30,14,31.577452730437347,1
2018-05-01,15,32.09705438778721,1
2018-05-02,14,31.78723873242807,1
2018-05-03,14,31.393636610367174,1
2018-05-04,15,31.659816288735623,1
2018-05-05,14,32.967151044001604,1
2018-05-06,12,32.60000851041798,1
2018-05-07,14,30.68178703174666,1
2018-05-08,14,30.674241107934538,0
2018-05-09,14,30.02156285850693,0
2018-05-10,14,28.16940486711675,0
2018-05-11,14,30.52168857562025,0
2018-05-12,14,30.417705723189503,1
2018-05-13,14,30.03730253835217,0
2018-05-14,14,31.856505935469,0
2018-05-15,16,27.801903317185694,0
2018-05-16,15,30.74437818852689,0
2018-05-17,14,31.32482986424008,1
2018-05-18,15,32.29721438234347,1
2018-05-19,8,25.059151526398352,0
2018-05-20,14,17.872527364677282,0
2018-05-21,16,20.349585105085627,0
2018-05-22,14,24.36030463208898,0
2018-05-23,14,25.069165065639478,0
2018-05-24,14,26.973836481257354,0
2018-05-25,15,26.58284079985405,0
2018-05-26,13,27.185726499405213,0
2018-05-27,12,26.768821474063692,0
2018-05-28,14,26.24403471692659,0
2018-05-29,14,24.477575389029703,0
2018-05-30,13,24.343259594044234,0
2018-05-31,14,25.12622253807066,0
2018-06-01,14,25.47000680829257,0
2018-06-02,14,28.172575800831762,0
2018-06-03,13,27.432929464250503,0
2018-06-04,13,23.62760110943179,0
2018-06-05,14,27.14110659928087,0
2018-06-06,15,27.59277355240486,0
2018-06-07,15,29.042628277826967,0
2018-06-08,14,22.688457029422693,0
2018-06-09,16,27.461754252229557,0
2018-06-10,14,33.079226141553285,1
2018-06-11,15,32.813699709083735,1
2018-06-12,13,32.00455290616302,1
2018-06-13,15,30.41913798337524,1
2018-06-14,12,26.74776926846453,0
2018-06-15,15,25.766162335411774,0
2018-06-16,13,22.69042502367728,0
2018-06-17,15,28.056958503636803,0
2018-06-18,13,27.749831367309717,0
