ts,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00
2018-04-16,22.8246189526636,22.250760404599045,21.673193623529365,21.372920977708628,21.2796538338259,21.45827187332218,21.80969939214864,23.12310916898988,24.484901315720276,25.73538472994957,26.93421279354466,28.261111653335618,28.55888631121926,29.29052127596726,29.193491979885472,27.679859678840543,25.894157143266632,24.230523953883836,22.47474583868593,21.804882535059992,21.513069744616143,21.106522711614357,20.76790240744007,20.62748106833805
2018-04-17,20.38164782360816,19.923587520871678,19.522877407770505,19.22660326667465,19.007739589830535,19.315903548593763,18.9509619134097,20.729507773637835,23.517745260288798,25.3727470496747,26.603950933147317,27.188985536259647,28.483801459249186,28.56688071334254,29.254799731012373,28.510851419526468,27.402706303627124,25.747445962635844,23.799561644345612,23.038494392674586,22.30994210415406,21.996521535359133,21.008367479767255,20.011276470307223
2018-04-18,19.760500536828445,19.079356315935932,18.336605691663085,17.688129631210693,17.386102585813173,17.020221672398527,16.52701204717938,17.913038832149184,21.464522984276268,23.911354772609762,25.615788746037143,26.779097920896106,27.29289321991158,27.46468503336363,27.485991190497238,27.677814775904306,26.450640794479906,24.186287571794114,22.339736374275276,21.80371773107073,20.518747793526522,20.68913242571083,20.718770548858117,20.31099582577852
2018-04-19,19.534679457501827,18.286620696919726,18.535933792547105,17.893772681178174,17.082007155190585,16.771094541162082,16.439470174341004,18.181103624568316,22.15988439358937,24.111758384998865,25.52576508706994,26.90941736510797,27.658343424566702,28.12100948496134,28.708703077749693,28.475960697306302,27.907161316329887,26.767586509939708,24.952911935166348,22.68562515818638,21.44037989819801,20.965543133394316,21.534181952556466,20.978069998634908
2018-04-20,20.202438641204505,19.586965372152783,19.09905060006394,18.680166920639426,17.820053631097593,17.080613298769045,16.84975575220817,18.575272068432643,21.564460603190614,23.983110959731224,25.27072564132524,25.97935474346417,25.074737608139177,25.144518495327937,25.625595778524016,25.17044911701137,25.72056986539063,24.144474207470584,23.086054156631118,22.963858497558352,21.324551344682938,19.83278164855084,18.760471355225626,17.382463539993907
2018-04-21,17.036472976060896,16.690018489217483,15.966935892000208,14.918872647168714,14.726651012863535,14.21426588977192,14.169074533568475,15.730560666137368,19.151615189415683,22.039199224822365,24.0492123049164,25.412684737753366,26.144155025572612,27.28276933269657,27.663774443880563,28.50216750652681,28.267670667180564,27.006550620956414,24.359319592578178,23.862941576884705,23.201737546026358,22.475684664880056,21.77449391184369,21.243214380711304
2018-04-22,21.154275980856315,20.88458273058132,20.52416361978802,20.095642651404763,19.57348102417577,19.17405134215092,19.079917268610608,20.821532752748112,23.950825650183276,26.85580595391443,28.450730441397628,29.194087475695643,29.106013511883535,30.27796557270075,29.93170150810205,29.350736844197424,29.40352815092862,27.359969364267222,25.77262911270383,25.609195724956884,25.584555603835383,25.005067103871937,24.395610490188886,23.3830481810255
2018-04-23,22.93129603950917,22.344073057702122,21.742087055541457,21.191274304735625,20.58325185314602,19.9328665425057,19.411151775536624,21.371739588312746,24.79111049595695,26.266039415667134,28.003005532420307,29.33745178081537,30.334560697532197,30.437850205811095,30.29924780284787,29.774285246198026,28.836317828283264,27.556613186452154,26.564532155849097,26.43895325374641,26.60565808876064,26.083626606228158,25.144931435541167,24.845410555945158
2018-04-24,23.90328750248016,23.250869412442487,22.61665771548737,21.402455811017404,20.75345057391163,20.33130732636754,20.254538801145802,21.467124269505465,25.13611693124642,26.45213800118525,28.1587726298266,29.474750584093584,30.45242522002169,31.221934624025362,30.12584157776456,30.21231695825594,29.672174539326896,28.29732815924489,26.252017701390493,25.57440600091731,26.016904583214988,25.402576300314042,24.387010292167645,23.738544575321313
2018-04-25,23.300946328417318,22.733496914052076,22.1718243067151,21.632158903994693,21.015629054370763,20.23678684360933,20.40696265651556,22.54559883284586,26.385570218457076,28.758756408487418,30.129283503203546,31.294240230018612,31.208523403914608,31.929547703449696,31.571056483285673,31.931341396439453,31.953024604218893,30.77261783301909,29.234790774469467,28.140894643146417,26.552522982237086,26.20655337291122,25.852856878242893,25.136485556460975
2018-04-26,24.577080048430226,23.997088658412096,23.83497162836562,23.184662619290272,23.09700217406429,22.568427259448356,22.051940108615298,23.755312226701623,27.015665394153167,28.96847425822552,29.92428009400652,31.041704850830623,32.13619193785119,32.74057402582014,33.13167321739794,33.679219629496224,32.464145902510126,30.771344422537624,28.678493639520052,27.431134086817007,26.927472083222995,26.73222272642509,26.08218049967708,25.37303200121501
2018-04-27,24.80247773910839,24.552658306903062,24.063986890357235,23.446361649182172,23.091941167601448,22.82295972826937,22.8239720060493,24.43970589699436,27.020361854884133,29.37188965160015,30.80864939465702,32.04610499438214,32.80871404579406,32.78932194019421,33.07560697774856,31.933285865517362,31.329349210434554,29.23340712428573,27.72290650081319,26.97186852894396,26.39668686516682,25.79409611426911,24.972828602064567,25.114198779916393
2018-04-28,24.019946569189223,22.323166952956957,22.58075170891509,22.668366936029514,22.32443250460877,21.965219614303887,21.715404729282564,23.21972967902269,26.346469682593618,29.08300939220749,30.61917064126573,31.614622018567744,33.04270215455448,32.946003699994144,32.29588506246644,32.751022707548096,32.012490055628675,30.610205943071033,28.488525343261202,26.751739269163682,26.026205366186755,24.698695600874547,24.550113271955283,24.720684505737363
2018-04-29,24.96751828891087,24.631862322333525,24.094515928928026,23.463143832444175,22.99459286173261,22.773249816509423,22.291699667464293,23.467307296421723,25.731054189629948,28.543657057179495,30.21718162852081,31.132103290626997,31.584853232190014,32.30031474823532,32.10920293427033,31.933393099890292,31.681951069855735,30.425864922971304,27.879094489814445,26.856163264645428,26.405054095031677,25.38971626858781,24.7051190065693,23.455660121676978
2018-04-30,22.889498075656835,22.612498246990395,21.903938775657345,21.429039900362085,20.560832697907514,19.8015461390904,19.373937521971193,21.23949961003083,25.070631871757463,26.68319108156005,28.505667464491555,29.66817757133159,30.953976689938425,31.568713546185514,31.577452730437344,31.553041473147626,31.082809866306807,29.360718592663748,27.15491141479653,26.125024565971763,25.410720031862805,24.627823924633944,24.381627737493343,23.92168494767925
2018-05-01,23.231257134012807,22.46937226117135,21.456808343938974,20.378135655187197,19.87226593614198,19.530348810876493,18.703587611817017,20.4618848619963,23.924370276112356,27.53002986619984,29.42137961787588,30.840509156528313,30.838947733356637,31.729646460170905,31.975787902416794,32.09705438778721,31.620440705404494,29.663333351661837,27.810006661859752,27.34223329238201,27.763245311039263,26.546952380944816,25.69130805047217,24.97615396083595
2018-05-02,24.357325106344774,24.14346835876515,23.8798204443525,23.226689538954858,22.924339144151908,22.2885365652111,22.21879171630563,23.281607747147262,25.893051031147017,28.689024983430492,29.76323567721566,29.99297310544963,30.699437664470583,31.09787635614611,31.787238732428072,31.290290546418614,30.997018250586695,29.02347906945436,27.947465998685306,27.244897988932898,26.83074045837467,26.181058446966798,25.48605726361614,24.64492185324049
