,Tmax,P90
169,20.408333333333328,24.094666666666672
170,21.33,24.04516666666667
171,21.915000000000006,24.18333333333333
172,23.065,24.39183333333333
173,23.000000000000004,24.40183333333333
174,24.18333333333333,24.449666666666673
175,24.7,24.5255
176,25.638333333333332,24.697
177,26.21,24.697
178,26.006666666666664,24.795
179,25.95666666666667,24.8205
180,25.04666666666667,24.736000000000004
181,25.395,24.680500000000002
182,26.951666666666664,24.680500000000002
183,17.708333333333332,24.826166666666666
184,17.84,24.826166666666666
185,25.32166666666667,24.826166666666666
186,25.95666666666667,24.826166666666666
187,25.49166666666667,24.826166666666666
188,27.031666666666666,24.87683333333333
189,25.611666666666668,25.14966666666667
190,26.336666666666666,25.412333333333336
191,26.00166666666667,25.491666666666667
192,26.25166666666667,25.55916666666667
193,26.491666666666664,25.625666666666667
